Timestamp,Q1,Q2,Q3,Q4,N_CH,R_CH,S_CH,L_CH,C_CH,V_p,N_p,B_z,Dst
2013-09-22 00:12:00,0.0072,0.0107,0.0111,0.0065,5.5067,3.0905,0.0,3.3451,4.7,422.0,4.21999979019165,0.32732,-6.0
2013-09-22 00:24:00,0.0153,0.0137,0.008,0.0126,5.5067,3.0905,0.0,3.3451,4.7,430.0,4.28000020980835,0.24425,-6.0
2013-09-22 00:36:00,0.0092,0.0053,0.0301,0.0057,5.3345,3.03,0.0,3.1335,4.5829,430.0,4.28000020980835,0.24425,-6.0
2013-09-22 00:48:00,0.008,0.0042,0.0191,0.0084,5.3345,3.03,0.0,3.1335,4.5829,428.0,4.28000020980835,-3.119181818181818,-6.0
2013-09-22 01:25:00,0.0095,0.0107,0.0141,0.0057,5.0534,3.3742,0.0,2.934,4.2864,421.0,5.010000228881836,-2.045375,-5.0
2013-09-22 01:36:00,0.0095,0.0191,0.0084,0.0088,5.1982,3.3994,0.0,2.9586,4.333,424.0,5.010000228881836,-1.7249565217391305,-5.0
2013-09-22 01:48:00,0.005,0.0019,0.0027,0.0141,5.1982,3.3994,0.0,2.9586,4.333,424.0,4.960000038146973,-1.7249565217391305,-4.0
2013-09-22 02:00:00,0.0111,0.0057,0.0355,0.013,5.1301,3.4989,0.0,2.8877,4.1551,432.0,4.960000038146973,-3.05396,-4.0
2013-09-22 02:12:00,0.0084,0.0042,0.0141,0.0076,5.1572,3.6337,0.0,2.9631,4.1121,432.0,4.960000038146973,-3.05396,-4.0
2013-09-22 02:24:00,0.0217,0.0099,0.0061,0.0122,5.1572,3.6337,0.0,2.9631,4.1121,428.0,4.809999942779541,-3.197041666666667,-4.5
2013-09-22 02:36:00,0.0126,0.0034,0.005,0.0061,5.1294,3.8816,0.0,2.7666,4.0314,428.0,4.809999942779541,-3.197041666666667,-4.5
2013-09-22 02:48:00,0.0134,0.0076,0.0183,0.0103,5.1294,3.8816,0.0,2.7666,4.0314,425.0,4.809999942779541,-3.5422000000000002,-5.0
2013-09-22 03:12:00,0.0099,0.0095,0.0084,0.0088,4.9872,3.8319,0.0,2.7962,3.6708,421.0,4.610000133514404,-2.288391304347826,-5.0
2013-09-22 03:24:00,0.005,0.0053,0.0099,0.0057,4.9872,3.8319,0.0,2.7962,3.6708,421.0,4.610000133514404,-2.288391304347826,-4.5
2013-09-22 03:36:00,0.008,0.0397,0.0229,0.0069,4.8063,3.9749,0.0,2.6714,3.2275,420.0,4.610000133514404,-2.18508,-4.5
2013-09-22 03:48:00,0.0057,0.0069,0.0137,0.0088,4.8063,3.9749,0.0,2.6714,3.2275,420.0,5.590000152587891,-2.18508,-4.0
2013-09-22 04:00:00,0.0076,0.0027,0.0149,0.013,4.7795,3.8561,0.0,2.355,2.8683,417.0,5.590000152587891,-2.7349200000000002,-4.0
2013-09-22 04:12:00,0.0088,0.008,0.0084,0.0034,4.7744,3.9418,0.0,2.5114,2.8731,417.0,5.590000152587891,-2.7349200000000002,-4.0
2013-09-22 04:24:00,0.0103,0.0046,0.0046,0.0023,4.7744,3.9418,0.0,2.5114,2.8731,414.0,5.670000076293945,-2.80204,-6.0
2013-09-22 04:36:00,0.0084,0.0107,0.0057,0.005,4.5316,3.8906,0.0,2.395,2.8256,414.0,5.670000076293945,-2.80204,-6.0
2013-09-22 04:48:00,0.0179,0.0069,0.0065,0.0031,4.5316,3.8906,0.0,2.395,2.8256,415.0,5.670000076293945,-2.50216,-8.0
2013-09-22 05:00:00,0.0103,0.0137,0.0141,0.0175,4.2904,3.8344,0.0,2.2468,2.6783,415.0,5.670000076293945,-2.50216,-8.0
2013-09-22 05:12:00,0.0057,0.0084,0.0046,0.0053,4.6875,3.8949,0.0,2.2076,2.6092,415.0,5.800000190734863,-2.50216,-8.0
2013-09-22 05:24:00,0.0027,0.0118,0.0111,0.0725,4.6875,3.8949,0.0,2.2076,2.6092,412.0,5.800000190734863,-2.59212,-7.0
2013-09-22 05:36:00,0.008,0.0095,0.0229,0.6821,4.8143,4.0167,0.0,2.0999,2.5516,412.0,5.800000190734863,-2.59212,-7.0
2013-09-22 05:48:00,0.0168,0.0042,0.0111,0.6668,4.8143,4.0167,0.0,2.0999,2.5516,412.0,5.25,-2.9244,-6.0
2013-09-22 06:00:00,0.013,0.0038,0.0114,0.4601,4.5817,3.8354,0.0,1.7632,2.4259,412.0,5.25,-2.9244,-6.0
2013-09-22 06:12:00,0.0134,0.0038,0.0118,0.2026,4.5817,3.8354,0.0,1.7632,2.4259,419.0,5.25,-1.63264,-6.0
2013-09-22 06:24:00,0.0149,0.0092,0.0103,0.0725,4.5817,3.8354,0.0,1.7632,2.4259,419.0,5.309999942779541,-1.63264,-4.5
